<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBE_MV,D,20190710,000000,61.23,61.23,49.9,52.05,0,0
DBE_MV,D,20190711,000000,56.01,56.01,53.58,54.49,0,0
DBE_MV,D,20190712,000000,54.49,54.49,54.49,54.49,0,0
DBE_MV,D,20190715,000000,55.41,55.41,55.41,55.41,0,0
DBE_MV,D,20190716,000000,55.41,58.17,55.11,57.86,0,0
DBE_MV,D,20190717,000000,57.56,59.24,57.56,58.66,0,0
DBE_MV,D,20190718,000000,58.11,58.11,55.11,56.45,0,0
DBE_MV,D,20190719,000000,55.72,55.72,52.9,52.9,0,0
DBE_MV,D,20190722,000000,53.58,53.88,53.58,53.88,0,0
DBE_MV,D,20190723,000000,53.88,53.88,52.04,53.58,0,0
DBE_MV,D,20190724,000000,53.88,53.88,53.58,53.58,0,0
DBE_MV,D,20190725,000000,53.58,53.58,52.66,52.66,0,0
DBE_MV,D,20190726,000000,53.27,53.27,52.66,52.66,0,0
DBE_MV,D,20190729,000000,52.35,52.35,52.04,52.04,0,0
DBE_MV,D,20190730,000000,50.82,50.82,48.06,48.06,0,0
DBE_MV,D,20190731,000000,48.68,56.94,39.8,52.35,0,0
DBE_MV,D,20190802,000000,53.58,53.58,51.74,51.74,0,0
DBE_MV,D,20190806,000000,52.35,53.58,52.35,53.58,0,0
DBE_MV,D,20190808,000000,52.04,52.04,49.6,49.6,0,0
DBE_MV,D,20190809,000000,50.51,51.13,50.51,51.13,0,0
DBE_MV,D,20190812,000000,51.43,51.43,51.43,51.43,0,0
DBE_MV,D,20190813,000000,51.43,51.43,49.9,49.9,0,0
DBE_MV,D,20190814,000000,52.04,52.04,52.04,52.04,0,0
DBE_MV,D,20190816,000000,52.96,60.25,52.96,58.17,0,0
DBE_MV,D,20190819,000000,58.47,60.31,55.11,55.11,0,0
DBE_MV,D,20190820,000000,55.11,55.11,55.11,55.11,0,0
DBE_MV,D,20190821,000000,55.11,55.72,55.11,55.72,0,0
DBE_MV,D,20190822,000000,55.72,59.39,55.72,59.39,0,0
DBE_MV,D,20190823,000000,58.78,58.78,58.78,58.78,0,0
DBE_MV,D,20190826,000000,58.78,60.31,58.78,60.31,0,0
DBE_MV,D,20190827,000000,60.31,60.31,60,60.31,0,0
DBE_MV,D,20190828,000000,60.31,60.31,60.31,60.31,0,0
DBE_MV,D,20190829,000000,59.09,59.09,56.33,56.33,0,0
DBE_MV,D,20190904,000000,57.56,57.56,57.56,57.56,0,0
DBE_MV,D,20190905,000000,57.56,57.56,57.56,57.56,0,0
DBE_MV,D,20190906,000000,57.56,58.17,57.56,58.17,0,0
DBE_MV,D,20190909,000000,58.17,58.17,58.17,58.17,0,0
DBE_MV,D,20190910,000000,58.78,60.92,58.78,60.92,0,0
DBE_MV,D,20190911,000000,60.92,63.68,60.31,62.76,0,0
DBE_MV,D,20190912,000000,67.35,67.35,65.82,66.28,0,0
DBE_MV,D,20190913,000000,66.13,66.13,66.13,66.13,0,0
DBE_MV,D,20190916,000000,65.52,65.52,64.29,64.29,0,0
DBE_MV,D,20190917,000000,64.29,64.29,64.29,64.29,0,0
DBE_MV,D,20190918,000000,64.26,64.26,63.07,63.07,0,0
DBE_MV,D,20190919,000000,63.07,63.07,63.07,63.07,0,0
DBE_MV,D,20190920,000000,63.04,63.04,63.04,63.04,0,0
DBE_MV,D,20190923,000000,63.04,63.04,63.04,63.04,0,0
DBE_MV,D,20190924,000000,63.04,63.04,63.04,63.04,0,0
DBE_MV,D,20190925,000000,63.04,63.04,63.04,63.04,0,0
DBE_MV,D,20190927,000000,62.33,62.33,61.55,61.55,0,0
DBE_MV,D,20190930,000000,63.07,63.07,63.05,63.05,0,0
DBE_MV,D,20191001,000000,60.32,60.32,60.31,60.31,0,0
DBE_MV,D,20191002,000000,60.31,60.31,60.31,60.31,0,0
